sex treatment reaction_time_ms
male control 188.8
male control 134.4
male control 180.7
male control 202.8
male control 192.6
male control 146.4
male control 220.8
male control 202.8
male control 155.2
male control 175.9
male control 166.4
male control 164.3
male control 194.3
male control 159.5
male control 190.5
male control 199.3
male control 175.4
male control 154.1
male control 204.2
male control 167.4
male drug 185.7
male drug 125.6
male drug 173.7
male drug 161.7
male drug 132.1
male drug 153.8
male drug 170.4
male drug 153.4
male drug 170.3
male drug 172.6
male drug 129.3
male drug 167.2
male drug 133.6
male drug 145.7
male drug 157.7
male drug 160.7
male drug 150.4
male drug 149.3
male drug 141.9
male drug 121.9
female control 168.4
female control 164.5
female control 189.2
female control 220.4
female control 184
female control 204.3
female control 192.2
female control 167.2
female control 181
female control 151.6
female control 206.8
female control 190.8
female control 200.2
female control 177.6
female control 206.4
female control 204
female control 176
female control 189.8
female control 210.2
female control 191.1
female drug 63.5
female drug 123.4
female drug 85.1
female drug 109.4
female drug 76.7
female drug 102
female drug 87
female drug 103.6
female drug 100.8
female drug 134.6
female drug 123.5
female drug 132.2
female drug 134.7
female drug 83.4
female drug 90.2
female drug 110.4
female drug 122.3
female drug 110.9
female drug 110.7
female drug 124.1
